in s,C1 in V,C2 in V
6.758240E-05,1.79346E+00,2.96045E+00
6.758320E-05,1.81299E+00,2.99951E+00
6.758400E-05,1.78369E+00,2.99463E+00
6.758480E-05,1.79346E+00,2.97998E+00
6.758560E-05,1.79834E+00,2.98486E+00
6.758640E-05,1.79346E+00,2.98975E+00
6.758720E-05,1.80322E+00,2.96533E+00
6.758800E-05,1.79346E+00,2.97998E+00
6.758880E-05,1.79346E+00,2.98975E+00
6.758960E-05,1.78369E+00,2.98486E+00
6.759040E-05,1.78369E+00,2.96533E+00
6.759120E-05,1.81299E+00,2.97510E+00
6.759200E-05,1.78369E+00,2.98975E+00
6.759280E-05,1.78369E+00,2.97021E+00
6.759360E-05,1.77393E+00,2.97021E+00
6.759440E-05,1.78857E+00,2.98975E+00
6.759520E-05,1.77393E+00,3.00439E+00
6.759600E-05,1.79834E+00,2.99951E+00
6.759680E-05,1.76904E+00,2.97998E+00
6.759760E-05,1.78857E+00,3.00439E+00
6.759840E-05,1.78857E+00,3.01416E+00
6.759920E-05,1.79346E+00,2.98486E+00
6.760000E-05,1.77881E+00,2.96533E+00
6.760080E-05,1.79834E+00,2.98486E+00
6.760160E-05,1.78369E+00,2.98486E+00
6.760240E-05,1.78857E+00,2.98975E+00
6.760320E-05,1.75928E+00,2.99951E+00
6.760400E-05,1.78369E+00,2.98486E+00
6.760480E-05,1.78369E+00,2.99951E+00
6.760560E-05,1.79834E+00,2.99951E+00
6.760640E-05,1.77393E+00,2.97510E+00
6.760720E-05,1.78369E+00,2.98975E+00
6.760800E-05,1.77881E+00,2.97998E+00
6.760880E-05,1.77393E+00,3.00928E+00
6.760960E-05,1.76904E+00,2.99463E+00
6.761040E-05,1.78369E+00,2.99951E+00
6.761120E-05,1.78369E+00,2.98975E+00
6.761200E-05,1.77393E+00,2.98975E+00
6.761280E-05,1.76904E+00,2.97021E+00
6.761360E-05,1.78369E+00,2.98975E+00
6.761440E-05,1.76416E+00,2.98486E+00
6.761520E-05,1.78369E+00,2.98486E+00
6.761600E-05,1.76904E+00,2.98486E+00
6.761680E-05,1.78369E+00,2.99951E+00
6.761760E-05,1.76416E+00,2.99951E+00
6.761840E-05,1.76904E+00,2.99463E+00
6.761920E-05,1.76904E+00,2.98975E+00
6.762000E-05,1.77881E+00,2.99463E+00
6.762080E-05,1.76416E+00,2.99951E+00
6.762160E-05,1.78857E+00,2.99951E+00
6.762240E-05,1.77881E+00,2.97998E+00
6.762320E-05,1.79834E+00,3.00928E+00
6.762400E-05,1.77393E+00,2.98975E+00
6.762480E-05,1.76904E+00,2.99951E+00
6.762560E-05,1.75928E+00,2.96533E+00
6.762640E-05,1.78369E+00,2.98975E+00
6.762720E-05,1.75439E+00,2.99463E+00
6.762800E-05,1.76904E+00,3.00439E+00
6.762880E-05,1.77881E+00,2.99463E+00
6.762960E-05,1.78369E+00,3.01416E+00
6.763040E-05,1.77881E+00,3.00439E+00
6.763120E-05,1.77881E+00,2.98486E+00
6.763200E-05,1.75439E+00,2.98486E+00
6.763280E-05,1.77881E+00,2.99463E+00
6.763360E-05,1.76904E+00,3.00439E+00
6.763440E-05,1.78857E+00,3.01416E+00
6.763520E-05,1.77881E+00,2.99951E+00
6.763600E-05,1.79834E+00,3.00439E+00
