"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-02-28",
"Time","13:21:21",
"Comment","",

"Meas. Place",,"3",,
"Type",,"Fall Time",,
"Source 1",,"C2",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,3121,,
"Current",,8.910400e-06,,
"Average No.",,1.000000e+03,,
"Min",,1.771200e-06,,
"Max",,1.937120e-05,,
"Mean",,6.881824e-06,,
"StdDev",,2.402035e-06,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,2.240000e-08,,
"Long term Max",,4.821280e-05,,
"Long term Mean",,4.801982e-06,,
"Long term StdDev",,3.730531e-06,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
605,,1.182720e-05,
606,,5.459200e-06,
607,,1.188160e-05,
608,,5.420800e-06,
609,,5.260800e-06,
610,,5.440000e-06,
611,,5.288000e-06,
612,,4.768000e-06,
613,,5.412800e-06,
614,,5.300800e-06,
615,,1.178720e-05,
616,,5.459200e-06,
617,,5.268800e-06,
618,,1.197760e-05,
619,,5.401600e-06,
620,,5.300800e-06,
621,,5.320000e-06,
622,,1.193120e-05,
623,,5.428800e-06,
624,,5.312000e-06,
625,,5.388800e-06,
626,,5.288000e-06,
627,,5.428800e-06,
628,,5.283200e-06,
629,,1.198080e-05,
630,,5.451200e-06,
631,,5.419200e-06,
632,,5.438400e-06,
633,,5.443200e-06,
634,,5.457600e-06,
635,,5.384000e-06,
636,,5.505600e-06,
637,,5.384000e-06,
638,,5.360000e-06,
639,,5.408000e-06,
640,,5.470400e-06,
641,,5.299200e-06,
642,,5.478400e-06,
643,,5.451200e-06,
644,,5.305600e-06,
645,,1.194080e-05,
646,,5.324800e-06,
647,,5.276800e-06,
648,,5.304000e-06,
649,,5.456000e-06,
650,,5.273600e-06,
651,,5.244800e-06,
652,,5.308800e-06,
653,,5.308800e-06,
654,,5.384000e-06,
655,,5.404800e-06,
656,,5.419200e-06,
657,,5.270400e-06,
658,,5.291200e-06,
659,,5.300800e-06,
660,,5.288000e-06,
661,,5.331200e-06,
662,,5.350400e-06,
663,,5.315200e-06,
664,,1.206880e-05,
665,,5.382400e-06,
666,,1.180640e-05,
667,,5.440000e-06,
668,,1.195680e-05,
669,,5.435200e-06,
670,,1.187360e-05,
671,,5.312000e-06,
672,,5.441600e-06,
673,,5.404800e-06,
674,,5.393600e-06,
675,,4.772800e-06,
676,,5.419200e-06,
677,,5.388800e-06,
678,,5.300800e-06,
679,,5.326400e-06,
680,,1.206560e-05,
681,,1.186560e-05,
682,,5.280000e-06,
683,,5.300800e-06,
684,,1.184800e-05,
685,,1.195360e-05,
686,,5.417600e-06,
687,,1.190240e-05,
688,,5.464000e-06,
689,,5.476800e-06,
690,,5.328000e-06,
691,,5.276800e-06,
692,,1.174080e-05,
693,,5.425600e-06,
694,,5.428800e-06,
695,,5.248000e-06,
696,,5.411200e-06,
697,,5.433600e-06,
698,,5.420800e-06,
699,,1.184480e-05,
700,,5.422400e-06,
701,,5.280000e-06,
702,,1.200320e-05,
703,,5.294400e-06,
704,,5.435200e-06,
705,,5.345600e-06,
706,,5.502400e-06,
707,,5.318400e-06,
708,,5.313600e-06,
709,,5.332800e-06,
710,,5.408000e-06,
711,,5.345600e-06,
712,,5.435200e-06,
713,,5.264000e-06,
714,,5.321600e-06,
715,,5.459200e-06,
716,,5.427200e-06,
717,,1.200320e-05,
718,,5.353600e-06,
719,,5.347200e-06,
720,,5.316800e-06,
721,,5.444800e-06,
722,,5.398400e-06,
723,,5.446400e-06,
724,,5.249600e-06,
725,,5.280000e-06,
726,,5.289600e-06,
727,,5.398400e-06,
728,,1.187200e-05,
729,,5.457600e-06,
730,,5.332800e-06,
731,,5.459200e-06,
732,,5.292800e-06,
733,,5.377600e-06,
734,,5.344000e-06,
735,,5.275200e-06,
736,,1.169920e-05,
737,,5.259200e-06,
