A_4 = 2.8218E+01, Δφ_4 = 2.8644E+00
A_5 = 3.7300E-01, Δφ_5 = 1.1735E+00
A_6 = 1.5885E-01, Δφ_6 = 8.4333E-02
A_7 = 1.6275E-01, Δφ_7 = -4.3570E-01
A_8 = 6.0385E-01, Δφ_8 = 5.2714E-02
A_9 = 1.1663E-01, Δφ_9 = 4.4645E-01
A_10 = 5.2922E-02, Δφ_10 = -1.0159E+00
A_11 = 9.1800E-02, Δφ_11 = -4.2319E-01
A_12 = 2.4007E+00, Δφ_12 = 1.0737E+00
A_13 = 9.2514E-02, Δφ_13 = -8.5034E-01
A_14 = 2.2384E-02, Δφ_14 = -1.6154E+00
A_15 = 6.1269E-02, Δφ_15 = -2.2280E+00
A_16 = 2.3117E-01, Δφ_16 = -1.2599E+00
A_17 = 3.2752E-02, Δφ_17 = -1.5073E+00
A_18 = 2.6302E-02, Δφ_18 = 3.1103E+00
A_19 = 1.8611E-02, Δφ_19 = -2.3284E+00
A_20 = 4.1855E-01, Δφ_20 = -1.3143E-01
A_21 = 3.6194E-02, Δφ_21 = -2.5578E+00
A_22 = 7.4907E-03, Δφ_22 = 1.9670E+00
A_23 = 1.9741E-02, Δφ_23 = 2.5447E+00
A_24 = 7.4364E-02, Δφ_24 = -2.9907E+00
A_25 = 7.9608E-03, Δφ_25 = 2.5803E+00
A_26 = 1.2093E-02, Δφ_26 = 2.0854E+00
A_27 = 1.4159E-02, Δφ_27 = 2.6123E+00
A_28 = 1.1181E-01, Δφ_28 = -1.3218E+00
A_29 = 1.8869E-02, Δφ_29 = 2.6702E+00
A_30 = 1.4468E-02, Δφ_30 = 1.3340E+00
A_31 = 1.2514E-02, Δφ_31 = 1.3163E+00
A_32 = 6.5220E-02, Δφ_32 = 2.2149E+00
A_33 = 1.3190E-02, Δφ_33 = 1.2931E+00
A_34 = 3.0095E-03, Δφ_34 = 1.2504E+00
A_35 = 5.5260E-03, Δφ_35 = -3.0890E+00
A_36 = 3.7692E-02, Δφ_36 = -1.5769E+00
A_37 = 4.7072E-03, Δφ_37 = 1.9568E+00
A_38 = 3.3507E-03, Δφ_38 = 1.4460E+00
A_39 = 1.1863E-02, Δφ_39 = 1.2528E+00
A_40 = 1.8511E-02, Δφ_40 = 1.8461E+00
A_41 = 4.2708E-03, Δφ_41 = 1.2227E+00
A_42 = 2.5365E-03, Δφ_42 = 7.6234E-01
A_43 = 3.5889E-03, Δφ_43 = -1.9470E+00
A_44 = 1.1817E-02, Δφ_44 = -2.0750E+00
A_45 = 3.4245E-03, Δφ_45 = 1.8373E+00
A_46 = 1.7342E-03, Δφ_46 = 1.6940E-01
A_47 = 7.2681E-03, Δφ_47 = 1.6261E+00
A_48 = 5.2825E-03, Δφ_48 = 2.7253E+00
A_49 = 0.0000E+00, Δφ_49 = 0.0000E+00
A_0 = 1.1634E+02, Δφ_0 = -0.0000E+00
A_1 = 8.4202E+00, Δφ_1 = -5.6747E-01
A_2 = 3.8295E+01, Δφ_2 = -2.7454E+00
A_3 = 5.0218E+00, Δφ_3 = -1.1797E+00
A_4 = 2.9234E+00, Δφ_4 = -1.2239E+00
A_5 = 2.8805E+00, Δφ_5 = -1.5492E+00
A_6 = 2.9563E+00, Δφ_6 = 2.2348E+00
A_7 = 1.9300E+00, Δφ_7 = -1.7115E+00
A_8 = 1.4863E+00, Δφ_8 = -1.4702E+00
