in Hz,Spectrum in dBm
8.93926E+03,-2.93056E+01
8.95075E+03,-3.34056E+01
8.96224E+03,-4.50456E+01
8.97373E+03,-3.92856E+01
8.98522E+03,-3.18656E+01
8.99671E+03,-2.88056E+01
9.00820E+03,-2.76056E+01
9.01969E+03,-2.77656E+01
9.03118E+03,-2.93656E+01
9.04267E+03,-3.31456E+01
9.05416E+03,-4.33656E+01
9.06565E+03,-4.03856E+01
9.07714E+03,-3.21656E+01
9.08863E+03,-2.88256E+01
9.10012E+03,-2.74056E+01
9.11161E+03,-2.73456E+01
9.12310E+03,-2.86056E+01
9.13459E+03,-3.17056E+01
9.14608E+03,-3.89856E+01
9.15757E+03,-4.39056E+01
9.16906E+03,-3.33056E+01
9.18055E+03,-2.93056E+01
9.19204E+03,-2.75056E+01
9.20353E+03,-2.71256E+01
9.21502E+03,-2.80056E+01
9.22651E+03,-3.04856E+01
9.23800E+03,-3.59656E+01
9.24949E+03,-5.50656E+01
9.26098E+03,-3.57256E+01
9.27247E+03,-3.05256E+01
9.28396E+03,-2.82256E+01
9.29545E+03,-2.75256E+01
9.30694E+03,-2.81256E+01
9.31843E+03,-3.02656E+01
9.32992E+03,-3.50056E+01
9.34141E+03,-4.91656E+01
9.35290E+03,-3.69456E+01
9.36439E+03,-3.10856E+01
9.37588E+03,-2.84656E+01
9.38737E+03,-2.75056E+01
9.39886E+03,-2.78656E+01
9.41035E+03,-2.96456E+01
